id, name, latitude, longitude, address, area, city,cost,Cost_Type, rating,rating_type, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
96,Hoppipola,19.12,72.91,"135 / 138, Galleria Shopping Center, Hiranandani Garden,   400076.,Powai, Mumbai",Powai, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,no,no,no
97,Persian Darbar,19.11,72.88,"Shop 101 - 102, Noori Baug, Andheri Kurla Road,MarolNaka, Marol, Mumbai",Marol, Marol,"  ? 1,300.00  ", Budget Friendly ,3.80,Very Good,yes,no,no,no,yes,no
98,Casa Vito Bar & Cafe,19.07,72.83,"Linking Road, Bandra West3rd Floor, Link Corner Building, 33rd Road, Off Linking Road,","Linking Road, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.40,Good,no,yes,yes,yes,yes,yes
99,Bhagat Tarachand,19.07,73.01,"Shatrughan Tower, Sector 18,Vashi, Navi Mumbai",Vashi, Mumbai,  ? 450.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
100,MH04 The Drunk Yard,19.24,72.97,"Manpada, Thane WestC-1, B-1 Kothari Compound, 27 Acre, Beside Royal Enfield Service Center, Chitalsar,","Manpada, Thane West", Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,no,yes,yes,no,no,no
101,Coffee By Di Bella,19.13,72.82,"Versova, Andheri WestShop 6/7, Shubham Co-op Housing Society, Juhu Versova Link Road,","Versova, Andheri West", Mumbai,  ? 650.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
102,Bruciato Food Factory,19.16,72.99,"Shop 17 Rainbow Tower, Sector 20,Airoli, Navi Mumbai",Airoli, Mumbai,  ? 600.00  , Budget Friendly ,4.20,Very Good,yes,no,no,yes,no,no
103,Theobroma,19.12,72.91,"G 8, City Park Building, Central Avenue, Hiranadani Gardens,Powai, Mumbai",Powai, Mumbai,  ? 500.00  , Budget Friendly ,4.30,Very Good,yes,no,no,no,no,no
104,BOX8- Desi Meals,19.12,72.86,"MahakaliCaves Road, Subhash Nagar, Andheri East, Mahakali, Mumbai",Mahakali, Mumbai,  ? 500.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
105,Blanco,19.15,72.83,"Andheri Lokhandwala, Andheri West201/202, Samarth Vaibhav Cooperating Housing Society, Opposite link Road,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.20,Very Good,no,yes,yes,yes,yes,yes
106,The Good Wife,19.06,72.86,"Ground Floor, The Capital, G Block, Behind ICICI Bank Building,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 2,500.00  ", Moderate ,4.00,Very Good,yes,yes,yes,yes,yes,no
107,Patch of Sky,19.12,72.85,"Hotel Aureole, Bima Nagar Society, Sir Mathuradas Vasanji Road, Telli Gali,Near Andheri East Station, Mumbai",Near Andheri East Station, Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.00,Very Good,no,yes,yes,yes,yes,yes
108,AB3 - Akkad Bakkad Bombay Boo,19.20,72.85,"5, KK Meena Sudhar Marg, Kamala Nagar, Bhagat Colony,Kandivali West, Mumbai",Kandivali West, Mumbai,  ? 300.00  , Budget Friendly ,4.10,Very Good,no,no,no,no,no,no
109,5 Spice,19.11,72.88,"Mithi Nadi,   Andheri East,Sakinaka, Mumbai",Sakinaka, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
110,Madeira & Mime,19.12,72.91,"G2, Trans Ocean House, Hiranandani Business Park, Lake Boulevard,Powai, Mumbai",Powai, Mumbai,"  ? 1,400.00  ", Budget Friendly ,4.70,Excellent,no,yes,yes,yes,yes,no
111,Havana Café & Bar - The Gordon House Hotel,18.92,72.83,"The Gordon House Hotel, 5 Battery Street, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.40,Very Good,no,yes,yes,yes,yes,no
112,Butter Chicken Factory,19.07,72.83,"Pali Hill, Bandra WestShop 7, Silver Cross Building, 16th & 33rd Road Junction, Opp Mini Punjab Resturant,","Pali Hill, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
113,SpiceKlub,18.99,72.83,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,100.00  ", Moderate ,4.40,Very Good,yes,no,no,no,yes,no
